Namespace(attSize=102, batch_size=2048, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='SUN', drop_rate=0.2, fusion_iter=3, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=0.0002, manualSeed=None, matdataset=True, nclass_all=717, ndh=4096, nepoch=300, netD_name='MLP_CRITIC', netG_name='MLP_G', ngh=4096, ngpu=1, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=102, outf='./checkpoint/', outname='sun', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, resSize=2048, save_every=100, standardization=False, start_epoch=0, syn_num=600, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  7211
# of training samples:  10320
MLP_G(
  (fc1): Linear(in_features=204, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2150, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_DropoutAdapt(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (drop): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  F_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 46 /300 ]    | -0.7444  | -3.2795  |  0.3954  |  0.9072  |     0.7611      |    0.3111    |   0.2698   | 0.2890  |
[ 47 /300 ]    | -0.6662  | -2.8677  |  0.3676  |  0.9155  |     0.6793      |    0.3292    |   0.2868   | 0.3065  |
[ 48 /300 ]    | -0.6531  | -2.7422  |  0.3878  |  0.9178  |     0.6651      |    0.3181    |   0.2903   | 0.3036  |
[ 49 /300 ]    | -0.6317  | -2.5148  |  0.3886  |  0.9190  |     0.6429      |    0.2826    |   0.3395   | 0.3085  |
[ 50 /300 ]    | -0.6403  | -2.2394  |  0.3825  |  0.9198  |     0.6524      |    0.3424    |   0.2822   | 0.3094  |
[ 51 /300 ]    | -0.6082  | -2.0562  |  0.3742  |  0.9225  |     0.6191      |    0.3444    |   0.2899   | 0.3148  |
[ 52 /300 ]    | -0.6031  | -1.8856  |  0.3575  |  0.9249  |     0.6144      |    0.3007    |   0.3465   | 0.3220  |
[ 53 /300 ]    | -0.5922  | -1.8072  |  0.3819  |  0.9263  |     0.6033      |    0.3007    |   0.3380   | 0.3183  |
[ 54 /300 ]    | -0.5655  | -1.6856  |  0.3831  |  0.9280  |     0.5768      |    0.3361    |   0.3190   | 0.3273  |
[ 55 /300 ]    | -0.5806  | -1.4604  |  0.3849  |  0.9280  |     0.5931      |    0.3368    |   0.3085   | 0.3220  |
[ 56 /300 ]    | -0.5811  | -1.4118  |  0.3928  |  0.9297  |     0.5936      |    0.3222    |   0.3434   | 0.3325  |
[ 57 /300 ]    | -0.5542  | -1.3306  |  0.4030  |  0.9301  |     0.5670      |    0.3326    |   0.3240   | 0.3283  |
[ 58 /300 ]    | -0.5594  | -1.3545  |  0.3921  |  0.9324  |     0.5748      |    0.3153    |   0.3395   | 0.3270  |
[ 59 /300 ]    | -0.5619  | -1.2199  |  0.3979  |  0.9318  |     0.5777      |    0.3201    |   0.3384   | 0.3290  |
[ 60 /300 ]    | -0.5529  | -1.2704  |  0.3534  |  0.9301  |     0.5689      |    0.3576    |   0.3097   | 0.3319  |
[ 61 /300 ]    | -0.5445  | -1.3081  |  0.3821  |  0.9321  |     0.5598      |    0.3222    |   0.3291   | 0.3256  |
[ 62 /300 ]    | -0.5492  | -1.2598  |  0.3750  |  0.9330  |     0.5649      |    0.3215    |   0.3403   | 0.3307  |
[ 63 /300 ]    | -0.5326  | -1.2611  |  0.3879  |  0.9334  |     0.5498      |    0.3319    |   0.3345   | 0.3332  |
[ 64 /300 ]    | -0.5308  | -1.3002  |  0.3832  |  0.9340  |     0.5493      |    0.3361    |   0.3264   | 0.3312  |
[ 65 /300 ]    | -0.5158  | -1.2735  |  0.3894  |  0.9318  |     0.5346      |    0.3528    |   0.3085   | 0.3292  |
[ 66 /300 ]    | -0.5275  | -1.3011  |  0.3879  |  0.9304  |     0.5479      |    0.3458    |   0.3093   | 0.3265  |
[ 67 /300 ]    | -0.5221  | -1.2433  |  0.3837  |  0.9351  |     0.5430      |    0.3278    |   0.3310   | 0.3294  |
[ 68 /300 ]    | -0.5160  | -1.2631  |  0.3883  |  0.9361  |     0.5394      |    0.3347    |   0.3202   | 0.3273  |
[ 69 /300 ]    | -0.5255  | -1.2363  |  0.3611  |  0.9374  |     0.5476      |    0.3438    |   0.3116   | 0.3269  |
[ 70 /300 ]    | -0.5272  | -1.2002  |  0.3517  |  0.9371  |     0.5515      |    0.3569    |   0.3105   | 0.3321  |
[ 71 /300 ]    | -0.5309  | -1.2286  |  0.3877  |  0.9390  |     0.5550      |    0.3535    |   0.3151   | 0.3332  |
