Namespace(adv_steps=5, attSize=85, batch_size=1024, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA2', drop_rate=0.2, epsilon=0.0625, fusion_iter=2, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=None, matdataset=True, nclass_all=50, ndh=4096, nepoch=200, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, ntrain_class=40, nz=85, outf='./checkpoint/', outname='awa2', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, resSize=2048, save_every=100, standardization=False, start_epoch=0, syn_num=2000, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  7128
# of training samples:  23527
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
robDis(
  (fc1): Linear(in_features=2133, out_features=4096)
  (bin): Linear(in_features=4096, out_features=1)
  (multi): Linear(in_features=4096, out_features=40)
  (relu): ReLU(inplace)
)
MLP_4HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=128)
  (fc5): Linear(in_features=128, out_features=85)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  ACC_unseen  |  ACC_seen  |    H    |
[ 79 /200 ]    |  0.9621  |  0.5951  |  0.9496  |    0.4680    |   0.5774   | 0.5170  |
[ 80 /200 ]    |  0.9654  |  0.5964  |  0.9493  |    0.4397    |   0.6640   | 0.5291  |
[ 81 /200 ]    |  0.9676  |  0.5903  |  0.9510  |    0.4597    |   0.6693   | 0.5450  |
[ 82 /200 ]    |  0.9666  |  0.5988  |  0.9507  |    0.5146    |   0.5837   | 0.5470  |
[ 83 /200 ]    |  0.9599  |  0.5840  |  0.9506  |    0.4533    |   0.6732   | 0.5418  |
[ 84 /200 ]    |  0.9661  |  0.5952  |  0.9517  |    0.4490    |   0.6677   | 0.5369  |
[ 85 /200 ]    |  0.9695  |  0.5845  |  0.9505  |    0.5082    |   0.5754   | 0.5397  |
[ 86 /200 ]    |  0.9657  |  0.5887  |  0.9516  |    0.5325    |   0.5668   | 0.5492  |
[ 87 /200 ]    |  0.9643  |  0.5826  |  0.9529  |    0.4872    |   0.5875   | 0.5327  |
[ 88 /200 ]    |  0.9621  |  0.5804  |  0.9528  |    0.5251    |   0.5677   | 0.5455  |
[ 89 /200 ]    |  0.9574  |  0.5802  |  0.9532  |    0.4600    |   0.6622   | 0.5429  |
[ 90 /200 ]    |  0.9564  |  0.5817  |  0.9532  |    0.5418    |   0.5771   | 0.5589  |
[ 91 /200 ]    |  0.9624  |  0.5860  |  0.9528  |    0.5119    |   0.5787   | 0.5433  |
[ 92 /200 ]    |  0.9600  |  0.5790  |  0.9537  |    0.5178    |   0.5732   | 0.5441  |
[ 93 /200 ]    |  0.9572  |  0.5675  |  0.9547  |    0.5256    |   0.5789   | 0.5510  |
[ 94 /200 ]    |  0.9569  |  0.5803  |  0.9540  |    0.4590    |   0.6657   | 0.5433  |
[ 95 /200 ]    |  0.9560  |  0.5767  |  0.9554  |    0.5510    |   0.5711   | 0.5609  |
[ 96 /200 ]    |  0.9589  |  0.5791  |  0.9541  |    0.5336    |   0.5695   | 0.5510  |
[ 97 /200 ]    |  0.9533  |  0.5749  |  0.9549  |    0.5289    |   0.5762   | 0.5516  |
[ 98 /200 ]    |  0.9551  |  0.5710  |  0.9557  |    0.5265    |   0.5802   | 0.5521  |
[ 99 /200 ]    |  0.9571  |  0.5770  |  0.9553  |    0.5238    |   0.5712   | 0.5465  |
[100 /200 ]    |  0.9549  |  0.5734  |  0.9560  |    0.5478    |   0.5642   | 0.5559  |
[101 /200 ]    |  0.9518  |  0.5738  |  0.9559  |    0.5586    |   0.5786   | 0.5685  |
[102 /200 ]    |  0.9526  |  0.5755  |  0.9563  |    0.4773    |   0.6547   | 0.5521  |
[103 /200 ]    |  0.9543  |  0.5756  |  0.9557  |    0.5103    |   0.5841   | 0.5447  |
[104 /200 ]    |  0.9548  |  0.5711  |  0.9573  |    0.5194    |   0.5736   | 0.5452  |
[105 /200 ]    |  0.9483  |  0.5718  |  0.9571  |    0.5215    |   0.5831   | 0.5506  |
[106 /200 ]    |  0.9532  |  0.5700  |  0.9587  |    0.4891    |   0.6544   | 0.5598  |
[107 /200 ]    |  0.9535  |  0.5691  |  0.9578  |    0.5313    |   0.5759   | 0.5527  |
[108 /200 ]    |  0.9487  |  0.5740  |  0.9585  |    0.4732    |   0.6572   | 0.5502  |
[109 /200 ]    |  0.9535  |  0.5700  |  0.9582  |    0.4544    |   0.6643   | 0.5396  |
[110 /200 ]    |  0.9520  |  0.5672  |  0.9593  |    0.4685    |   0.6642   | 0.5494  |
[111 /200 ]    |  0.9481  |  0.5660  |  0.9589  |    0.5443    |   0.5662   | 0.5550  |
[112 /200 ]    |  0.9520  |  0.5754  |  0.9588  |    0.5426    |   0.5749   | 0.5583  |
[113 /200 ]    |  0.9495  |  0.5683  |  0.9594  |    0.5523    |   0.5651   | 0.5586  |
[114 /200 ]    |  0.9439  |  0.5744  |  0.9605  |    0.4765    |   0.6627   | 0.5544  |
[115 /200 ]    |  0.9472  |  0.5649  |  0.9610  |    0.5371    |   0.5789   | 0.5572  |
[116 /200 ]    |  0.9497  |  0.5622  |  0.9617  |    0.4774    |   0.6605   | 0.5543  |
[117 /200 ]    |  0.9505  |  0.5659  |  0.9615  |    0.4824    |   0.6597   | 0.5573  |
[118 /200 ]    |  0.9476  |  0.5664  |  0.9600  |    0.4968    |   0.6574   | 0.5659  |
[119 /200 ]    |  0.9501  |  0.5550  |  0.9615  |    0.4823    |   0.6612   | 0.5577  |
[120 /200 ]    |  0.9460  |  0.5631  |  0.9619  |    0.5381    |   0.5770   | 0.5569  |
[121 /200 ]    |  0.9434  |  0.5647  |  0.9620  |    0.4717    |   0.6602   | 0.5502  |
[122 /200 ]    |  0.9472  |  0.5656  |  0.9627  |    0.5646    |   0.5706   | 0.5676  |
[123 /200 ]    |  0.9485  |  0.5679  |  0.9640  |    0.4958    |   0.6678   | 0.5691  |
[124 /200 ]    |  0.9431  |  0.5597  |  0.9638  |    0.5652    |   0.5735   | 0.5693  |
[125 /200 ]    |  0.9433  |  0.5542  |  0.9641  |    0.4869    |   0.6540   | 0.5582  |
[126 /200 ]    |  0.9430  |  0.5507  |  0.9649  |    0.4718    |   0.6558   | 0.5488  |
[127 /200 ]    |  0.9449  |  0.5622  |  0.9648  |    0.4944    |   0.6577   | 0.5645  |
[128 /200 ]    |  0.9493  |  0.5597  |  0.9635  |    0.4870    |   0.6567   | 0.5593  |
[129 /200 ]    |  0.9475  |  0.5653  |  0.9643  |    0.4890    |   0.6581   | 0.5611  |
[130 /200 ]    |  0.9494  |  0.5724  |  0.9660  |    0.5495    |   0.5799   | 0.5643  |
[131 /200 ]    |  0.9419  |  0.5566  |  0.9652  |    0.5174    |   0.6498   | 0.5761  |
[132 /200 ]    |  0.9527  |  0.5560  |  0.9653  |    0.5346    |   0.5791   | 0.5560  |
[133 /200 ]    |  0.9460  |  0.5630  |  0.9655  |    0.5061    |   0.6535   | 0.5704  |
[134 /200 ]    |  0.9529  |  0.5639  |  0.9669  |    0.4981    |   0.6595   | 0.5676  |
[135 /200 ]    |  0.9454  |  0.5521  |  0.9666  |    0.4972    |   0.6621   | 0.5679  |
[136 /200 ]    |  0.9494  |  0.5611  |  0.9665  |    0.4932    |   0.6502   | 0.5609  |
[137 /200 ]    |  0.9498  |  0.5558  |  0.9664  |    0.5056    |   0.6538   | 0.5702  |
[138 /200 ]    |  0.9505  |  0.5618  |  0.9672  |    0.4981    |   0.6587   | 0.5672  |
[139 /200 ]    |  0.9458  |  0.5587  |  0.9685  |    0.5248    |   0.6478   | 0.5799  |
[140 /200 ]    |  0.9445  |  0.5658  |  0.9672  |    0.5149    |   0.6525   | 0.5756  |
[141 /200 ]    |  0.9428  |  0.5636  |  0.9676  |    0.5349    |   0.6495   | 0.5866  |
[142 /200 ]    |  0.9452  |  0.5537  |  0.9672  |    0.5189    |   0.6549   | 0.5790  |
[143 /200 ]    |  0.9452  |  0.5545  |  0.9678  |    0.4693    |   0.7046   | 0.5634  |
[144 /200 ]    |  0.9450  |  0.5586  |  0.9688  |    0.4783    |   0.7042   | 0.5697  |
[145 /200 ]    |  0.9479  |  0.5576  |  0.9689  |    0.5068    |   0.6504   | 0.5697  |
[146 /200 ]    |  0.9428  |  0.5660  |  0.9689  |    0.4988    |   0.6568   | 0.5670  |
[147 /200 ]    |  0.9445  |  0.5601  |  0.9691  |    0.5225    |   0.6485   | 0.5787  |
[148 /200 ]    |  0.9477  |  0.5637  |  0.9688  |    0.5309    |   0.6511   | 0.5849  |
[149 /200 ]    |  0.9435  |  0.5583  |  0.9690  |    0.5031    |   0.6570   | 0.5698  |
[150 /200 ]    |  0.9461  |  0.5599  |  0.9689  |    0.5148    |   0.6529   | 0.5757  |
[151 /200 ]    |  0.9507  |  0.5665  |  0.9700  |    0.5247    |   0.6493   | 0.5804  |
[152 /200 ]    |  0.9508  |  0.5615  |  0.9696  |    0.5127    |   0.6485   | 0.5727  |
[153 /200 ]    |  0.9490  |  0.5608  |  0.9714  |    0.5269    |   0.6534   | 0.5834  |
[154 /200 ]    |  0.9433  |  0.5605  |  0.9708  |    0.5251    |   0.6457   | 0.5792  |
[155 /200 ]    |  0.9462  |  0.5584  |  0.9694  |    0.4859    |   0.7049   | 0.5753  |
[156 /200 ]    |  0.9487  |  0.5576  |  0.9700  |    0.5125    |   0.6506   | 0.5734  |
[157 /200 ]    |  0.9441  |  0.5542  |  0.9707  |    0.5304    |   0.6570   | 0.5870  |
[158 /200 ]    |  0.9478  |  0.5585  |  0.9710  |    0.5047    |   0.7063   | 0.5887  |
[159 /200 ]    |  0.9494  |  0.5605  |  0.9716  |    0.5107    |   0.6489   | 0.5716  |
[160 /200 ]    |  0.9492  |  0.5598  |  0.9721  |    0.5199    |   0.6455   | 0.5759  |
[161 /200 ]    |  0.9458  |  0.5632  |  0.9726  |    0.5304    |   0.6597   | 0.5881  |
[162 /200 ]    |  0.9445  |  0.5574  |  0.9717  |    0.4980    |   0.7003   | 0.5821  |
