Namespace(adv_steps=5, attSize=102, batch_size=2048, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='SUN', drop_rate=0.2, epsilon=0.0625, fusion_iter=2, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=0.0002, manualSeed=None, matdataset=True, nclass_all=717, ndh=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, ntrain_class=645, nz=102, outf='./checkpoint/', outname='sun', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, resSize=2048, save_every=100, standardization=False, start_epoch=0, syn_num=600, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  3769
# of training samples:  10320
MLP_G(
  (fc1): Linear(in_features=204, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
robDis(
  (fc1): Linear(in_features=2150, out_features=4096)
  (bin): Linear(in_features=4096, out_features=1)
  (multi): Linear(in_features=4096, out_features=645)
  (relu): ReLU(inplace)
)
EPOCH          |  D_cost  |  G_cost  |  ACC_unseen  |  ACC_seen  |    H    |
[ 79 /300 ]    |  0.9759  |  0.6288  |    0.3597    |   0.3624   | 0.3611  |
[ 80 /300 ]    |  0.9810  |  0.6935  |    0.4014    |   0.3310   | 0.3628  |
[ 81 /300 ]    |  0.9759  |  0.6005  |    0.3660    |   0.3484   | 0.3570  |
[ 82 /300 ]    |  0.9797  |  0.5684  |    0.3694    |   0.3504   | 0.3597  |
[ 83 /300 ]    |  0.9686  |  0.6055  |    0.3653    |   0.3527   | 0.3589  |
[ 84 /300 ]    |  0.9779  |  0.6985  |    0.3604    |   0.3574   | 0.3589  |
[ 85 /300 ]    |  0.9861  |  0.7299  |    0.3840    |   0.3446   | 0.3632  |
[ 86 /300 ]    |  0.9729  |  0.7016  |    0.3757    |   0.3376   | 0.3556  |
[ 87 /300 ]    |  0.9632  |  0.6229  |    0.3806    |   0.3333   | 0.3554  |
[ 88 /300 ]    |  0.9628  |  0.6127  |    0.3917    |   0.3349   | 0.3611  |
[ 89 /300 ]    |  0.9640  |  0.6204  |    0.3542    |   0.3570   | 0.3556  |
[ 90 /300 ]    |  0.9608  |  0.6211  |    0.3882    |   0.3349   | 0.3596  |
[ 91 /300 ]    |  0.9607  |  0.6786  |    0.3722    |   0.3547   | 0.3632  |
[ 92 /300 ]    |  0.9563  |  0.6216  |    0.4007    |   0.3252   | 0.3590  |
[ 93 /300 ]    |  0.9563  |  0.6159  |    0.3778    |   0.3376   | 0.3566  |
[ 94 /300 ]    |  0.9534  |  0.6069  |    0.3889    |   0.3295   | 0.3567  |
[ 95 /300 ]    |  0.9956  |  0.7729  |    0.3701    |   0.3605   | 0.3652  |
[ 96 /300 ]    |  0.9564  |  0.5580  |    0.3861    |   0.3550   | 0.3699  |
[ 97 /300 ]    |  0.9499  |  0.6348  |    0.3924    |   0.3329   | 0.3602  |
[ 98 /300 ]    |  0.9531  |  0.6529  |    0.3792    |   0.3492   | 0.3636  |
[ 99 /300 ]    |  0.9534  |  0.6422  |    0.3868    |   0.3434   | 0.3638  |
[100 /300 ]    |  0.9524  |  0.6432  |    0.3639    |   0.3709   | 0.3674  |
[101 /300 ]    |  0.9512  |  0.6603  |    0.3653    |   0.3663   | 0.3658  |
[102 /300 ]    |  0.9414  |  0.6005  |    0.3563    |   0.3698   | 0.3629  |
[103 /300 ]    |  1.0434  |  0.8735  |    0.3653    |   0.3426   | 0.3536  |
[104 /300 ]    |  0.9468  |  0.6345  |    0.3708    |   0.3589   | 0.3648  |
[105 /300 ]    |  0.9434  |  0.6340  |    0.3708    |   0.3539   | 0.3622  |
[106 /300 ]    |  0.9714  |  0.7529  |    0.3799    |   0.3446   | 0.3614  |
[107 /300 ]    |  0.9450  |  0.6725  |    0.3667    |   0.3674   | 0.3671  |
[108 /300 ]    |  0.9347  |  0.6333  |    0.3681    |   0.3597   | 0.3638  |
[109 /300 ]    |  0.9433  |  0.5745  |    0.4062    |   0.3360   | 0.3678  |
[110 /300 ]    |  0.9422  |  0.5793  |    0.3868    |   0.3535   | 0.3694  |
[111 /300 ]    |  0.9415  |  0.5689  |    0.3847    |   0.3574   | 0.3705  |
[112 /300 ]    |  0.9437  |  0.5819  |    0.3847    |   0.3531   | 0.3682  |
[113 /300 ]    |  0.9347  |  0.6024  |    0.3632    |   0.3733   | 0.3682  |
[114 /300 ]    |  0.9397  |  0.6441  |    0.4035    |   0.3384   | 0.3681  |
[115 /300 ]    |  0.9536  |  0.7040  |    0.3785    |   0.3597   | 0.3688  |
[116 /300 ]    |  0.9359  |  0.6205  |    0.3590    |   0.3574   | 0.3582  |
[117 /300 ]    |  0.9450  |  0.6119  |    0.4028    |   0.3283   | 0.3617  |
[118 /300 ]    |  0.9341  |  0.5830  |    0.3604    |   0.3709   | 0.3656  |
[119 /300 ]    |  0.9311  |  0.6356  |    0.3847    |   0.3671   | 0.3757  |
[120 /300 ]    |  0.9402  |  0.6536  |    0.3972    |   0.3438   | 0.3686  |
[121 /300 ]    |  0.9510  |  0.7034  |    0.3667    |   0.3678   | 0.3672  |
[122 /300 ]    |  0.9293  |  0.6179  |    0.3653    |   0.3733   | 0.3692  |
[123 /300 ]    |  0.9378  |  0.6996  |    0.3708    |   0.3651   | 0.3680  |
[124 /300 ]    |  0.9338  |  0.5454  |    0.3764    |   0.3593   | 0.3676  |
[125 /300 ]    |  0.9322  |  0.5790  |    0.3535    |   0.3822   | 0.3673  |
[126 /300 ]    |  0.9245  |  0.6156  |    0.3812    |   0.3585   | 0.3695  |
[127 /300 ]    |  0.9259  |  0.6257  |    0.3958    |   0.3523   | 0.3728  |
[128 /300 ]    |  0.9249  |  0.5977  |    0.3875    |   0.3574   | 0.3718  |
[129 /300 ]    |  0.9285  |  0.6619  |    0.3736    |   0.3729   | 0.3732  |
[130 /300 ]    |  0.9271  |  0.6474  |    0.3965    |   0.3481   | 0.3707  |
[131 /300 ]    |  0.9209  |  0.6352  |    0.3833    |   0.3535   | 0.3678  |
[132 /300 ]    |  0.9194  |  0.5900  |    0.3757    |   0.3628   | 0.3691  |
[133 /300 ]    |  0.9214  |  0.5923  |    0.3931    |   0.3504   | 0.3705  |
[134 /300 ]    |  0.9660  |  0.7858  |    0.3882    |   0.3519   | 0.3692  |
[135 /300 ]    |  0.9408  |  0.7124  |    0.3965    |   0.3477   | 0.3705  |
[136 /300 ]    |  0.9244  |  0.6226  |    0.4000    |   0.3442   | 0.3700  |
[137 /300 ]    |  0.9282  |  0.6358  |    0.3819    |   0.3442   | 0.3621  |
[138 /300 ]    |  0.9227  |  0.5686  |    0.4097    |   0.3349   | 0.3685  |
[139 /300 ]    |  0.9510  |  0.7472  |    0.3917    |   0.3434   | 0.3660  |
[140 /300 ]    |  0.9305  |  0.5373  |    0.3813    |   0.3578   | 0.3691  |
[141 /300 ]    |  0.9183  |  0.5788  |    0.3667    |   0.3651   | 0.3659  |
[142 /300 ]    |  0.9176  |  0.6062  |    0.3708    |   0.3605   | 0.3656  |
[143 /300 ]    |  0.9365  |  0.7244  |    0.3715    |   0.3690   | 0.3703  |
[144 /300 ]    |  0.9131  |  0.6272  |    0.3813    |   0.3647   | 0.3728  |
[145 /300 ]    |  0.9158  |  0.6533  |    0.3924    |   0.3504   | 0.3702  |
[146 /300 ]    |  0.9157  |  0.5860  |    0.3840    |   0.3636   | 0.3735  |
