Namespace(adv_steps=5, att_size=102, batch_size=2048, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='SUN', drop_rate=0.2, epsilon=0.0625, fusion_iter=2, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=0.0002, manualSeed=4115, matdataset=True, nclass_all=717, dis_hu=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, ntrain_class=645, nz=102, outf='./checkpoint/', outname='sun', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, res_size=2048, save_every=100, standardization=False, start_epoch=0, syn_num=600, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  4115
# of training samples:  10320
MLP_G(
  (fc1): Linear(in_features=204, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
robDis(
  (fc1): Linear(in_features=2150, out_features=4096)
  (bin): Linear(in_features=4096, out_features=1)
  (multi): Linear(in_features=4096, out_features=645)
  (relu): ReLU(inplace)
)
MLP_4HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=128)
  (fc5): Linear(in_features=128, out_features=102)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  ACC_unseen  |  ACC_seen  |    H    |
[ 59 /300 ]    |  1.0359  |  0.7485  |  0.9378  |    0.3639    |   0.3446   | 0.3540  |
[ 60 /300 ]    |  1.0471  |  0.8571  |  0.9406  |    0.3444    |   0.3500   | 0.3472  |
[ 61 /300 ]    |  1.0287  |  0.7192  |  0.9399  |    0.3660    |   0.3395   | 0.3523  |
[ 62 /300 ]    |  1.0216  |  0.7372  |  0.9411  |    0.3354    |   0.3667   | 0.3503  |
[ 63 /300 ]    |  1.0284  |  0.6520  |  0.9397  |    0.3708    |   0.3333   | 0.3511  |
[ 64 /300 ]    |  1.0409  |  0.8565  |  0.9401  |    0.3486    |   0.3411   | 0.3448  |
[ 65 /300 ]    |  1.1017  |  0.9909  |  0.9430  |    0.3403    |   0.3488   | 0.3445  |
[ 66 /300 ]    |  1.0096  |  0.6386  |  0.9414  |    0.3667    |   0.3349   | 0.3501  |
[ 67 /300 ]    |  1.0013  |  0.6987  |  0.9435  |    0.3528    |   0.3508   | 0.3518  |
[ 68 /300 ]    |  1.0044  |  0.6943  |  0.9429  |    0.3486    |   0.3570   | 0.3527  |
[ 69 /300 ]    |  0.9996  |  0.6732  |  0.9387  |    0.3514    |   0.3512   | 0.3513  |
[ 70 /300 ]    |  0.9920  |  0.6828  |  0.9442  |    0.3569    |   0.3496   | 0.3532  |
[ 71 /300 ]    |  0.9883  |  0.6700  |  0.9453  |    0.3507    |   0.3450   | 0.3478  |
[ 72 /300 ]    |  0.9863  |  0.6941  |  0.9453  |    0.3715    |   0.3260   | 0.3473  |
[ 73 /300 ]    |  0.9881  |  0.6786  |  0.9454  |    0.3486    |   0.3453   | 0.3470  |
[ 74 /300 ]    |  0.9987  |  0.6053  |  0.9460  |    0.3479    |   0.3535   | 0.3507  |
[ 75 /300 ]    |  0.9827  |  0.6996  |  0.9461  |    0.3458    |   0.3368   | 0.3413  |
[ 76 /300 ]    |  1.0047  |  0.5560  |  0.9480  |    0.3333    |   0.3643   | 0.3481  |
[ 77 /300 ]    |  0.9729  |  0.6497  |  0.9488  |    0.3729    |   0.3326   | 0.3516  |
[ 78 /300 ]    |  0.9715  |  0.6547  |  0.9441  |    0.3576    |   0.3535   | 0.3556  |
[ 79 /300 ]    |  0.9902  |  0.7860  |  0.9497  |    0.3431    |   0.3566   | 0.3497  |
[ 80 /300 ]    |  0.9691  |  0.6935  |  0.9492  |    0.3681    |   0.3384   | 0.3526  |
[ 81 /300 ]    |  0.9991  |  0.8065  |  0.9502  |    0.3889    |   0.3221   | 0.3524  |
[ 82 /300 ]    |  0.9663  |  0.6654  |  0.9510  |    0.3597    |   0.3438   | 0.3516  |
[ 83 /300 ]    |  0.9735  |  0.7537  |  0.9509  |    0.3639    |   0.3419   | 0.3525  |
[ 84 /300 ]    |  0.9656  |  0.6494  |  0.9473  |    0.3639    |   0.3426   | 0.3529  |
[ 85 /300 ]    |  1.1229  |  0.9261  |  0.9509  |    0.3792    |   0.3380   | 0.3574  |
[ 86 /300 ]    |  0.9642  |  0.5972  |  0.9508  |    0.3583    |   0.3457   | 0.3519  |
[ 87 /300 ]    |  0.9919  |  0.8103  |  0.9521  |    0.3417    |   0.3733   | 0.3568  |
[ 88 /300 ]    |  0.9581  |  0.6643  |  0.9515  |    0.3486    |   0.3547   | 0.3516  |
[ 89 /300 ]    |  0.9574  |  0.6623  |  0.9458  |    0.3347    |   0.3566   | 0.3453  |
[ 90 /300 ]    |  0.9494  |  0.6210  |  0.9514  |    0.3812    |   0.3337   | 0.3559  |
[ 91 /300 ]    |  0.9976  |  0.8339  |  0.9523  |    0.3486    |   0.3581   | 0.3533  |
[ 92 /300 ]    |  1.0409  |  0.9007  |  0.9523  |    0.3451    |   0.3581   | 0.3515  |
[ 93 /300 ]    |  0.9431  |  0.6299  |  0.9511  |    0.3833    |   0.3360   | 0.3581  |
[ 94 /300 ]    |  0.9460  |  0.6600  |  0.9533  |    0.3472    |   0.3597   | 0.3533  |
[ 95 /300 ]    |  0.9476  |  0.7089  |  0.9532  |    0.3576    |   0.3562   | 0.3569  |
[ 96 /300 ]    |  0.9419  |  0.5961  |  0.9535  |    0.3708    |   0.3298   | 0.3491  |
[ 97 /300 ]    |  0.9494  |  0.5596  |  0.9542  |    0.3444    |   0.3663   | 0.3550  |
[ 98 /300 ]    |  0.9415  |  0.6361  |  0.9538  |    0.3847    |   0.3306   | 0.3556  |
[ 99 /300 ]    |  0.9397  |  0.6350  |  0.9535  |    0.3979    |   0.3267   | 0.3588  |
[100 /300 ]    |  0.9396  |  0.6374  |  0.9521  |    0.3743    |   0.3248   | 0.3478  |
[101 /300 ]    |  0.9377  |  0.6425  |  0.9519  |    0.3792    |   0.3236   | 0.3492  |
[102 /300 ]    |  0.9456  |  0.5871  |  0.9523  |    0.3694    |   0.3345   | 0.3511  |
[103 /300 ]    |  0.9411  |  0.5972  |  0.9548  |    0.3708    |   0.3450   | 0.3574  |
[104 /300 ]    |  0.9309  |  0.6220  |  0.9548  |    0.3639    |   0.3457   | 0.3546  |
[105 /300 ]    |  0.9344  |  0.6283  |  0.9542  |    0.3521    |   0.3597   | 0.3558  |
[106 /300 ]    |  0.9436  |  0.6714  |  0.9547  |    0.3708    |   0.3391   | 0.3543  |
[107 /300 ]    |  1.0160  |  0.8808  |  0.9557  |    0.3694    |   0.3430   | 0.3557  |
[108 /300 ]    |  0.9287  |  0.6540  |  0.9536  |    0.3931    |   0.3306   | 0.3591  |
[109 /300 ]    |  0.9290  |  0.6392  |  0.9565  |    0.3493    |   0.3624   | 0.3557  |
[110 /300 ]    |  0.9288  |  0.6246  |  0.9551  |    0.3931    |   0.3217   | 0.3538  |
[111 /300 ]    |  0.9316  |  0.6282  |  0.9549  |    0.3674    |   0.3438   | 0.3552  |
[112 /300 ]    |  0.9378  |  0.5721  |  0.9560  |    0.3882    |   0.3283   | 0.3557  |
[113 /300 ]    |  0.9222  |  0.6198  |  0.9559  |    0.3535    |   0.3651   | 0.3592  |
[114 /300 ]    |  0.9364  |  0.5566  |  0.9555  |    0.3972    |   0.3360   | 0.3641  |
[115 /300 ]    |  0.9225  |  0.6126  |  0.9565  |    0.3618    |   0.3585   | 0.3602  |
[116 /300 ]    |  0.9483  |  0.5031  |  0.9563  |    0.3660    |   0.3508   | 0.3582  |
[117 /300 ]    |  0.9213  |  0.6054  |  0.9539  |    0.3479    |   0.3674   | 0.3574  |
[118 /300 ]    |  0.9188  |  0.6320  |  0.9503  |    0.3903    |   0.3310   | 0.3582  |
[119 /300 ]    |  0.9158  |  0.5897  |  0.9570  |    0.3382    |   0.3841   | 0.3597  |
[120 /300 ]    |  0.9156  |  0.5942  |  0.9580  |    0.3736    |   0.3461   | 0.3593  |
[121 /300 ]    |  0.9972  |  0.8570  |  0.9572  |    0.3757    |   0.3384   | 0.3561  |
[122 /300 ]    |  0.9153  |  0.6077  |  0.9580  |    0.3653    |   0.3484   | 0.3567  |
[123 /300 ]    |  0.9173  |  0.6307  |  0.9576  |    0.3736    |   0.3434   | 0.3579  |
[124 /300 ]    |  0.9140  |  0.6409  |  0.9575  |    0.3590    |   0.3647   | 0.3619  |
[125 /300 ]    |  0.9151  |  0.5914  |  0.9572  |    0.3861    |   0.3438   | 0.3637  |
[126 /300 ]    |  0.9194  |  0.7194  |  0.9577  |    0.3493    |   0.3651   | 0.3570  |
[127 /300 ]    |  0.9636  |  0.8163  |  0.9580  |    0.4097    |   0.3159   | 0.3567  |
[128 /300 ]    |  0.9558  |  0.8417  |  0.9589  |    0.3694    |   0.3508   | 0.3599  |
[129 /300 ]    |  0.9093  |  0.6624  |  0.9572  |    0.3701    |   0.3570   | 0.3634  |
[130 /300 ]    |  0.9183  |  0.6561  |  0.9579  |    0.3799    |   0.3461   | 0.3622  |
[131 /300 ]    |  0.9211  |  0.7205  |  0.9572  |    0.3722    |   0.3593   | 0.3656  |
[132 /300 ]    |  0.9214  |  0.6964  |  0.9596  |    0.3542    |   0.3752   | 0.3644  |
[133 /300 ]    |  0.9064  |  0.5963  |  0.9591  |    0.3646    |   0.3593   | 0.3619  |
[134 /300 ]    |  0.9070  |  0.6094  |  0.9579  |    0.3854    |   0.3527   | 0.3683  |
[135 /300 ]    |  0.9211  |  0.5182  |  0.9588  |    0.3819    |   0.3500   | 0.3653  |
[136 /300 ]    |  0.9247  |  0.5258  |  0.9589  |    0.3806    |   0.3446   | 0.3617  |
[137 /300 ]    |  0.9141  |  0.5562  |  0.9590  |    0.4028    |   0.3291   | 0.3622  |
[138 /300 ]    |  0.9190  |  0.7241  |  0.9593  |    0.3549    |   0.3802   | 0.3671  |
[139 /300 ]    |  0.9015  |  0.6178  |  0.9576  |    0.4076    |   0.3256   | 0.3620  |
[140 /300 ]    |  0.9075  |  0.5598  |  0.9574  |    0.3694    |   0.3609   | 0.3651  |
[141 /300 ]    |  0.9065  |  0.6910  |  0.9585  |    0.3604    |   0.3779   | 0.3690  |
[142 /300 ]    |  0.9025  |  0.5973  |  0.9583  |    0.3833    |   0.3461   | 0.3638  |
[143 /300 ]    |  0.9041  |  0.5795  |  0.9596  |    0.3632    |   0.3733   | 0.3682  |
[144 /300 ]    |  0.9119  |  0.5576  |  0.9595  |    0.3556    |   0.3705   | 0.3629  |
[145 /300 ]    |  0.9044  |  0.5845  |  0.9602  |    0.3750    |   0.3473   | 0.3606  |
[146 /300 ]    |  0.9684  |  0.8622  |  0.9594  |    0.4035    |   0.3213   | 0.3577  |
[147 /300 ]    |  0.9580  |  0.8512  |  0.9571  |    0.3694    |   0.3500   | 0.3595  |
[148 /300 ]    |  0.9065  |  0.5525  |  0.9566  |    0.3896    |   0.3364   | 0.3611  |
[149 /300 ]    |  0.8971  |  0.5821  |  0.9588  |    0.4042    |   0.3306   | 0.3637  |
[150 /300 ]    |  0.9731  |  0.8794  |  0.9606  |    0.4167    |   0.3221   | 0.3633  |
[151 /300 ]    |  0.8976  |  0.6016  |  0.9611  |    0.3653    |   0.3709   | 0.3681  |
[152 /300 ]    |  0.8927  |  0.5975  |  0.9601  |    0.3493    |   0.3833   | 0.3655  |
[153 /300 ]    |  0.9039  |  0.5721  |  0.9612  |    0.4208    |   0.3287   | 0.3691  |
[154 /300 ]    |  0.9085  |  0.6463  |  0.9604  |    0.3806    |   0.3516   | 0.3655  |
[155 /300 ]    |  0.8974  |  0.6612  |  0.9594  |    0.3917    |   0.3438   | 0.3662  |
[156 /300 ]    |  0.9015  |  0.5342  |  0.9612  |    0.4035    |   0.3326   | 0.3646  |
[157 /300 ]    |  0.8967  |  0.5484  |  0.9613  |    0.3868    |   0.3469   | 0.3658  |
[158 /300 ]    |  0.8928  |  0.6261  |  0.9620  |    0.3910    |   0.3574   | 0.3734  |
[159 /300 ]    |  0.8961  |  0.6701  |  0.9614  |    0.4028    |   0.3407   | 0.3691  |
[160 /300 ]    |  0.8895  |  0.6059  |  0.9609  |    0.3833    |   0.3570   | 0.3697  |
[161 /300 ]    |  0.8931  |  0.6558  |  0.9570  |    0.3819    |   0.3539   | 0.3674  |
[162 /300 ]    |  0.8991  |  0.5886  |  0.9614  |    0.3708    |   0.3671   | 0.3689  |
[163 /300 ]    |  0.8887  |  0.6250  |  0.9616  |    0.4028    |   0.3415   | 0.3696  |
[164 /300 ]    |  0.8953  |  0.6657  |  0.9626  |    0.3743    |   0.3671   | 0.3706  |
[165 /300 ]    |  0.8851  |  0.6697  |  0.9626  |    0.3833    |   0.3554   | 0.3689  |
[166 /300 ]    |  0.8893  |  0.6238  |  0.9627  |    0.4229    |   0.3260   | 0.3682  |
[167 /300 ]    |  0.8864  |  0.6526  |  0.9624  |    0.3965    |   0.3535   | 0.3738  |
[168 /300 ]    |  0.8920  |  0.6356  |  0.9620  |    0.3972    |   0.3461   | 0.3699  |
[169 /300 ]    |  0.8856  |  0.5939  |  0.9602  |    0.3979    |   0.3570   | 0.3763  |
