Namespace(adv_steps=5, att_size=1024, batch_size=512, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='FLO', drop_rate=0.2, epsilon=0.0625, fusion_iter=2, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=0.0001, manualSeed=None, matdataset=True, nclass_all=102, dis_hu=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, ntrain_class=82, nz=1024, outf='./checkpoint/', outname='flowers', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, res_size=2048, save_every=100, standardization=False, start_epoch=0, syn_num=800, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  1490
# of training samples:  5631
MLP_G(
  (fc1): Linear(in_features=2048, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
robDis(
  (fc1): Linear(in_features=3072, out_features=4096)
  (bin): Linear(in_features=4096, out_features=1)
  (multi): Linear(in_features=4096, out_features=82)
  (relu): ReLU(inplace)
)
EPOCH          |  D_cost  |  G_cost  |  ACC_unseen  |  ACC_seen  |    H    |
[ 76 /300 ]    |  0.5536  |  1.0120  |    0.4642    |   0.7345   | 0.5689  |
[ 77 /300 ]    |  0.6199  |  0.6157  |    0.4670    |   0.7515   | 0.5760  |
[ 78 /300 ]    |  0.6011  |  0.6910  |    0.4842    |   0.6990   | 0.5721  |
[ 79 /300 ]    |  0.5820  |  0.7773  |    0.4582    |   0.7671   | 0.5737  |
[ 80 /300 ]    |  0.5767  |  0.8597  |    0.4839    |   0.7326   | 0.5828  |
[ 81 /300 ]    |  0.5898  |  0.9242  |    0.4628    |   0.7748   | 0.5794  |
[ 82 /300 ]    |  0.5747  |  0.8138  |    0.4904    |   0.6980   | 0.5761  |
[ 83 /300 ]    |  0.5840  |  0.8614  |    0.4630    |   0.7590   | 0.5752  |
[ 84 /300 ]    |  0.5989  |  0.8915  |    0.4671    |   0.7300   | 0.5697  |
[ 85 /300 ]    |  0.6278  |  1.0316  |    0.4656    |   0.7547   | 0.5759  |
[ 86 /300 ]    |  0.6774  |  1.0208  |    0.4691    |   0.7672   | 0.5822  |
[ 87 /300 ]    |  0.6564  |  0.7077  |    0.4401    |   0.8015   | 0.5682  |
[ 88 /300 ]    |  0.7400  |  1.1618  |    0.4910    |   0.6985   | 0.5767  |
[ 89 /300 ]    |  0.6429  |  0.8609  |    0.4529    |   0.7667   | 0.5694  |
[ 90 /300 ]    |  0.6607  |  0.7019  |    0.4523    |   0.7698   | 0.5698  |
[ 91 /300 ]    |  0.6607  |  0.7887  |    0.4585    |   0.7402   | 0.5662  |
[ 92 /300 ]    |  0.6788  |  0.6749  |    0.4594    |   0.7926   | 0.5817  |
