Namespace(attSize=1024, batch_size=512, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.1, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='FLO', drop_rate=0.2, fusion_iter=3, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=0.0001, manualSeed=None, matdataset=True, nclass_all=102, ndh=4096, nepoch=300, netD_name='MLP_CRITIC', netG_name='MLP_G', ngh=4096, ngpu=1, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=1024, outf='./checkpoint/', outname='flowers', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, resSize=2048, save_every=100, standardization=False, start_epoch=0, syn_num=800, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  6026
# of training samples:  5631
MLP_G(
  (fc1): Linear(in_features=2048, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=3072, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_DropoutAdapt(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (drop): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  F_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 68 /300 ]    | -2.0526  |  0.0526  |  0.3872  |  0.7547  |     2.1684      |    0.3810    |   0.6839   | 0.4894  |
[ 69 /300 ]    | -2.0455  |  0.0251  |  0.3785  |  0.7552  |     2.1494      |    0.3939    |   0.6825   | 0.4995  |
[ 70 /300 ]    | -2.0339  |  0.0954  |  0.4492  |  0.7583  |     2.1301      |    0.4089    |   0.6757   | 0.5095  |
[ 71 /300 ]    | -2.0106  |  0.2214  |  0.4003  |  0.7555  |     2.1264      |    0.3855    |   0.7178   | 0.5016  |
[ 72 /300 ]    | -1.9761  |  0.2608  |  0.5150  |  0.7578  |     2.0696      |    0.4036    |   0.7161   | 0.5162  |
[ 73 /300 ]    | -1.9889  |  0.2636  |  0.4838  |  0.7577  |     2.0861      |    0.3868    |   0.7208   | 0.5034  |
[ 74 /300 ]    | -1.9348  |  0.3311  |  0.4376  |  0.7569  |     2.0203      |    0.3896    |   0.6954   | 0.4994  |
[ 75 /300 ]    | -1.9723  |  0.2704  |  0.3574  |  0.7594  |     2.0555      |    0.3894    |   0.7054   | 0.5018  |
[ 76 /300 ]    | -1.9071  |  0.3836  |  0.3912  |  0.7588  |     1.9953      |    0.4218    |   0.7432   | 0.5382  |
[ 77 /300 ]    | -1.9140  |  0.2579  |  0.4092  |  0.7591  |     1.9933      |    0.4157    |   0.6895   | 0.5187  |
[ 78 /300 ]    | -1.9015  |  0.4116  |  0.3546  |  0.7612  |     1.9911      |    0.4063    |   0.7614   | 0.5299  |
[ 79 /300 ]    | -1.8845  |  0.4011  |  0.3900  |  0.7609  |     1.9751      |    0.3983    |   0.7718   | 0.5255  |
[ 80 /300 ]    | -1.8762  |  0.4201  |  0.4109  |  0.7599  |     1.9585      |    0.4177    |   0.7039   | 0.5243  |
[ 81 /300 ]    | -1.8415  |  0.5466  |  0.3188  |  0.7614  |     1.9418      |    0.4370    |   0.7111   | 0.5413  |
[ 82 /300 ]    | -1.8526  |  0.5647  |  0.3201  |  0.7650  |     1.9446      |    0.4224    |   0.7066   | 0.5287  |
[ 83 /300 ]    | -1.8456  |  0.4432  |  0.5551  |  0.7638  |     1.9221      |    0.4081    |   0.7607   | 0.5312  |
[ 84 /300 ]    | -1.8155  |  0.5659  |  0.4401  |  0.7622  |     1.9137      |    0.4188    |   0.7220   | 0.5301  |
[ 85 /300 ]    | -1.8175  |  0.6187  |  0.4154  |  0.7632  |     1.9077      |    0.4227    |   0.7392   | 0.5379  |
[ 86 /300 ]    | -1.8299  |  0.5484  |  0.4456  |  0.7633  |     1.9132      |    0.4254    |   0.7262   | 0.5365  |
[ 87 /300 ]    | -1.7941  |  0.5869  |  0.3470  |  0.7650  |     1.8871      |    0.4172    |   0.7743   | 0.5423  |
[ 88 /300 ]    | -1.8063  |  0.5353  |  0.3574  |  0.7669  |     1.8892      |    0.4147    |   0.7386   | 0.5311  |
[ 89 /300 ]    | -1.7875  |  0.6542  |  0.4938  |  0.7647  |     1.8666      |    0.4316    |   0.7238   | 0.5408  |
[ 90 /300 ]    | -1.7748  |  0.5122  |  0.4281  |  0.7658  |     1.8458      |    0.4248    |   0.7684   | 0.5471  |
[ 91 /300 ]    | -1.7364  |  0.6066  |  0.4451  |  0.7656  |     1.8228      |    0.4369    |   0.7869   | 0.5618  |
[ 92 /300 ]    | -1.7503  |  0.5923  |  0.3859  |  0.7668  |     1.8214      |    0.4156    |   0.7837   | 0.5431  |
[ 93 /300 ]    | -1.7048  |  0.6499  |  0.4783  |  0.7675  |     1.7776      |    0.4242    |   0.7454   | 0.5407  |
[ 94 /300 ]    | -1.7128  |  0.5739  |  0.3979  |  0.7659  |     1.7890      |    0.4162    |   0.7772   | 0.5421  |
[ 95 /300 ]    | -1.7043  |  0.5933  |  0.4167  |  0.7638  |     1.7658      |    0.4201    |   0.7660   | 0.5426  |
[ 96 /300 ]    | -1.7211  |  0.6039  |  0.3606  |  0.7698  |     1.7991      |    0.4280    |   0.7939   | 0.5562  |
[ 97 /300 ]    | -1.6734  |  0.5569  |  0.3822  |  0.7671  |     1.7561      |    0.4617    |   0.7327   | 0.5664  |
[ 98 /300 ]    | -1.6998  |  0.6234  |  0.2904  |  0.7687  |     1.7715      |    0.4274    |   0.7239   | 0.5375  |
[ 99 /300 ]    | -1.6939  |  0.6588  |  0.6514  |  0.7666  |     1.7903      |    0.4219    |   0.7854   | 0.5489  |
