Namespace(attSize=85, batch_size=512, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA1', drop_rate=0.2, fusion_iter=3, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=None, matdataset=True, nclass_all=50, ndh=4096, nepoch=200, netD_name='MLP_CRITIC', netG_name='MLP_G', ngh=4096, ngpu=1, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=85, outname='awa', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, resSize=2048, save_every=100, standardization=False, start_epoch=0, syn_num=3200, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  6030
# of training samples:  19832
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2133, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_DropoutAdapt(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (drop): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  F_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 68 /200 ]    | -0.8997  | -0.5757  |  0.0505  |  0.9489  |     0.9448      |    0.4903    |   0.6541   | 0.5605  |
[ 69 /200 ]    | -0.8586  | -0.5770  |  0.0137  |  0.9512  |     0.8971      |    0.5024    |   0.6369   | 0.5617  |
[ 70 /200 ]    | -0.9087  | -0.5826  |  0.0225  |  0.9514  |     0.9507      |    0.4785    |   0.6756   | 0.5602  |
[ 71 /200 ]    | -0.8579  | -0.5889  |  0.0240  |  0.9531  |     0.9007      |    0.4899    |   0.6727   | 0.5669  |
[ 72 /200 ]    | -0.8922  | -0.6300  |  0.0250  |  0.9536  |     0.9326      |    0.4973    |   0.6630   | 0.5683  |
[ 73 /200 ]    | -0.8961  | -0.6889  |  0.0404  |  0.9541  |     0.9385      |    0.4914    |   0.6909   | 0.5744  |
[ 74 /200 ]    | -0.8837  | -0.6502  |  0.1005  |  0.9549  |     0.9260      |    0.5181    |   0.6630   | 0.5817  |
[ 75 /200 ]    | -0.8839  | -0.6616  |  0.0569  |  0.9557  |     0.9266      |    0.5113    |   0.6616   | 0.5768  |
[ 76 /200 ]    | -0.8930  | -0.6545  |  0.0617  |  0.9551  |     0.9356      |    0.5222    |   0.6644   | 0.5848  |
[ 77 /200 ]    | -0.8757  | -0.6764  |  0.0889  |  0.9573  |     0.9153      |    0.5020    |   0.6825   | 0.5785  |
[ 78 /200 ]    | -0.8544  | -0.6906  |  0.0112  |  0.9582  |     0.8931      |    0.5139    |   0.6643   | 0.5795  |
[ 79 /200 ]    | -0.9118  | -0.6898  |  0.0607  |  0.9564  |     0.9531      |    0.5070    |   0.6854   | 0.5828  |
[ 80 /200 ]    | -0.8841  | -0.6914  |  0.0219  |  0.9589  |     0.9255      |    0.5306    |   0.6662   | 0.5907  |
[ 81 /200 ]    | -0.8759  | -0.6671  |  0.0496  |  0.9587  |     0.9148      |    0.5455    |   0.6478   | 0.5923  |
[ 82 /200 ]    | -0.8876  | -0.7098  |  0.0798  |  0.9602  |     0.9305      |    0.5239    |   0.6805   | 0.5920  |
[ 83 /200 ]    | -0.8682  | -0.7049  |  0.0318  |  0.9607  |     0.9104      |    0.5373    |   0.6623   | 0.5933  |
[ 84 /200 ]    | -0.9119  | -0.6528  |  0.0855  |  0.9616  |     0.9587      |    0.5234    |   0.6685   | 0.5872  |
[ 85 /200 ]    | -0.8711  | -0.7718  |  0.0266  |  0.9610  |     0.9121      |    0.5413    |   0.6658   | 0.5972  |
[ 86 /200 ]    | -0.9033  | -0.7375  |  0.1333  |  0.9617  |     0.9475      |    0.5361    |   0.6826   | 0.6006  |
[ 87 /200 ]    | -0.9025  | -0.7241  |  0.0681  |  0.9619  |     0.9489      |    0.5279    |   0.6883   | 0.5975  |
[ 88 /200 ]    | -0.9424  | -0.7270  |  0.0505  |  0.9644  |     0.9837      |    0.5578    |   0.6432   | 0.5975  |
[ 89 /200 ]    | -0.8503  | -0.7322  |  0.0215  |  0.9634  |     0.8885      |    0.5483    |   0.6674   | 0.6020  |
[ 90 /200 ]    | -0.8620  | -0.7749  |  0.0547  |  0.9640  |     0.9023      |    0.5490    |   0.6654   | 0.6016  |
[ 91 /200 ]    | -0.8868  | -0.7944  |  0.1090  |  0.9644  |     0.9261      |    0.5575    |   0.6509   | 0.6006  |
[ 92 /200 ]    | -0.8982  | -0.7863  |  0.0132  |  0.9656  |     0.9422      |    0.5418    |   0.6877   | 0.6061  |
[ 93 /200 ]    | -0.8836  | -0.7308  |  0.0099  |  0.9644  |     0.9245      |    0.5282    |   0.7081   | 0.6051  |
[ 94 /200 ]    | -0.8643  | -0.7983  |  0.0437  |  0.9652  |     0.9029      |    0.5589    |   0.6696   | 0.6092  |
[ 95 /200 ]    | -0.8710  | -0.8426  |  0.1066  |  0.9662  |     0.9109      |    0.5456    |   0.6937   | 0.6108  |
[ 96 /200 ]    | -0.8347  | -0.8251  |  0.0981  |  0.9659  |     0.8725      |    0.5438    |   0.6921   | 0.6091  |
[ 97 /200 ]    | -0.8643  | -0.7987  |  0.0522  |  0.9649  |     0.9058      |    0.5312    |   0.7112   | 0.6081  |
[ 98 /200 ]    | -0.8505  | -0.8349  |  0.0599  |  0.9666  |     0.8916      |    0.5533    |   0.6858   | 0.6124  |
[ 99 /200 ]    | -0.8118  | -0.8200  |  0.1093  |  0.9672  |     0.8496      |    0.5567    |   0.6741   | 0.6098  |
[100 /200 ]    | -0.8676  | -0.8031  |  0.0582  |  0.9683  |     0.9095      |    0.5626    |   0.6718   | 0.6124  |
[101 /200 ]    | -0.8437  | -0.8081  |  0.0615  |  0.9677  |     0.8808      |    0.5352    |   0.7106   | 0.6105  |
[102 /200 ]    | -0.8656  | -0.8781  |  0.0251  |  0.9681  |     0.9054      |    0.5520    |   0.6723   | 0.6062  |
[103 /200 ]    | -0.8364  | -0.8536  |  0.0603  |  0.9677  |     0.8749      |    0.5451    |   0.7067   | 0.6154  |
[104 /200 ]    | -0.8436  | -0.8279  |  0.0604  |  0.9700  |     0.8832      |    0.5526    |   0.6755   | 0.6079  |
[105 /200 ]    | -0.8579  | -0.8906  |  0.0307  |  0.9690  |     0.9016      |    0.5519    |   0.6913   | 0.6138  |
[106 /200 ]    | -0.8617  | -0.9117  |  0.0319  |  0.9692  |     0.8989      |    0.5524    |   0.6938   | 0.6151  |
[107 /200 ]    | -0.8776  | -0.8474  |  0.1015  |  0.9687  |     0.9189      |    0.5485    |   0.7077   | 0.6180  |
[108 /200 ]    | -0.8257  | -0.9156  |  0.0476  |  0.9706  |     0.8657      |    0.5639    |   0.6752   | 0.6146  |
[109 /200 ]    | -0.8621  | -0.9531  |  0.1017  |  0.9715  |     0.9051      |    0.5545    |   0.6971   | 0.6177  |
[110 /200 ]    | -0.8869  | -0.9527  |  0.0705  |  0.9706  |     0.9280      |    0.5817    |   0.6558   | 0.6165  |
[111 /200 ]    | -0.8414  | -0.9358  |  0.0295  |  0.9701  |     0.8797      |    0.5788    |   0.6583   | 0.6160  |
[112 /200 ]    | -0.8442  | -0.9407  |  0.0821  |  0.9711  |     0.8822      |    0.5659    |   0.6796   | 0.6176  |
[113 /200 ]    | -0.8330  | -0.9785  |  0.0374  |  0.9703  |     0.8642      |    0.5699    |   0.6781   | 0.6193  |
[114 /200 ]    | -0.8446  | -0.9780  |  0.1600  |  0.9727  |     0.8848      |    0.5850    |   0.6560   | 0.6184  |
[115 /200 ]    | -0.8225  | -0.9327  |  0.0729  |  0.9725  |     0.8588      |    0.5673    |   0.6821   | 0.6194  |
[116 /200 ]    | -0.8306  | -0.9778  |  0.0251  |  0.9729  |     0.8692      |    0.5590    |   0.6979   | 0.6208  |
[117 /200 ]    | -0.8321  | -0.9211  |  0.1112  |  0.9727  |     0.8700      |    0.5679    |   0.6871   | 0.6218  |
[118 /200 ]    | -0.8601  | -0.9435  |  0.0349  |  0.9735  |     0.9029      |    0.5450    |   0.7163   | 0.6190  |
[119 /200 ]    | -0.8461  | -1.0386  |  0.0326  |  0.9728  |     0.8871      |    0.5614    |   0.6864   | 0.6176  |
[120 /200 ]    | -0.8445  | -0.9801  |  0.0439  |  0.9726  |     0.8780      |    0.5393    |   0.7201   | 0.6167  |
[121 /200 ]    | -0.8222  | -0.9627  |  0.0508  |  0.9740  |     0.8619      |    0.5800    |   0.6599   | 0.6174  |
[122 /200 ]    | -0.8252  | -0.9748  |  0.0539  |  0.9738  |     0.8626      |    0.5653    |   0.6833   | 0.6187  |
[123 /200 ]    | -0.8060  | -0.9702  |  0.0179  |  0.9743  |     0.8443      |    0.5891    |   0.6639   | 0.6243  |
[124 /200 ]    | -0.8086  | -1.0407  |  0.0592  |  0.9751  |     0.8459      |    0.5650    |   0.6854   | 0.6194  |
[125 /200 ]    | -0.8274  | -1.0228  |  0.1131  |  0.9748  |     0.8720      |    0.5577    |   0.6862   | 0.6153  |
[126 /200 ]    | -0.8386  | -1.0709  |  0.0318  |  0.9746  |     0.8751      |    0.5648    |   0.6802   | 0.6171  |
[127 /200 ]    | -0.8493  | -1.0103  |  0.0389  |  0.9746  |     0.8862      |    0.5769    |   0.6640   | 0.6174  |
[128 /200 ]    | -0.8504  | -1.0615  |  0.0727  |  0.9759  |     0.8888      |    0.5641    |   0.6879   | 0.6198  |
[129 /200 ]    | -0.7836  | -1.0252  |  0.0519  |  0.9751  |     0.8222      |    0.5788    |   0.6631   | 0.6181  |
[130 /200 ]    | -0.8355  | -1.0732  |  0.0570  |  0.9748  |     0.8734      |    0.5813    |   0.6450   | 0.6115  |
[131 /200 ]    | -0.8392  | -1.0570  |  0.0153  |  0.9771  |     0.8800      |    0.5656    |   0.6650   | 0.6113  |
[132 /200 ]    | -0.8414  | -1.0582  |  0.0275  |  0.9772  |     0.8796      |    0.5507    |   0.6888   | 0.6121  |
[133 /200 ]    | -0.8136  | -1.1200  |  0.0939  |  0.9768  |     0.8517      |    0.5807    |   0.6410   | 0.6094  |
[134 /200 ]    | -0.7981  | -1.0833  |  0.0526  |  0.9770  |     0.8337      |    0.5468    |   0.6950   | 0.6121  |
[135 /200 ]    | -0.8164  | -1.0771  |  0.0647  |  0.9765  |     0.8535      |    0.5624    |   0.6750   | 0.6135  |
[136 /200 ]    | -0.8022  | -1.0780  |  0.0455  |  0.9771  |     0.8400      |    0.5629    |   0.6699   | 0.6118  |
[137 /200 ]    | -0.8112  | -1.0856  |  0.0343  |  0.9770  |     0.8507      |    0.5502    |   0.6898   | 0.6121  |
[138 /200 ]    | -0.7964  | -1.0745  |  0.1328  |  0.9782  |     0.8329      |    0.5555    |   0.6719   | 0.6082  |
[139 /200 ]    | -0.8183  | -1.1095  |  0.0765  |  0.9784  |     0.8569      |    0.5452    |   0.6976   | 0.6120  |
[140 /200 ]    | -0.8431  | -1.1244  |  0.0564  |  0.9780  |     0.8848      |    0.5692    |   0.6494   | 0.6067  |
[141 /200 ]    | -0.8371  | -1.0787  |  0.0724  |  0.9786  |     0.8770      |    0.5730    |   0.6486   | 0.6084  |
[142 /200 ]    | -0.8054  | -1.0832  |  0.0559  |  0.9789  |     0.8390      |    0.5532    |   0.6769   | 0.6088  |
[143 /200 ]    | -0.8234  | -1.1409  |  0.0738  |  0.9787  |     0.8629      |    0.5635    |   0.6494   | 0.6034  |
[144 /200 ]    | -0.8249  | -1.1038  |  0.0889  |  0.9794  |     0.8644      |    0.5494    |   0.6807   | 0.6080  |
[145 /200 ]    | -0.7851  | -1.1176  |  0.1081  |  0.9801  |     0.8195      |    0.5681    |   0.6486   | 0.6057  |
[146 /200 ]    | -0.8205  | -1.1432  |  0.0595  |  0.9799  |     0.8601      |    0.5478    |   0.6779   | 0.6060  |
[147 /200 ]    | -0.7802  | -1.1827  |  0.0349  |  0.9798  |     0.8176      |    0.5517    |   0.6766   | 0.6078  |
[148 /200 ]    | -0.8059  | -1.1249  |  0.0507  |  0.9800  |     0.8437      |    0.5506    |   0.6809   | 0.6088  |
[149 /200 ]    | -0.8093  | -1.1639  |  0.0218  |  0.9814  |     0.8483      |    0.5839    |   0.6291   | 0.6057  |
[150 /200 ]    | -0.7912  | -1.1311  |  0.0262  |  0.9802  |     0.8253      |    0.5646    |   0.6526   | 0.6054  |
[151 /200 ]    | -0.8077  | -1.1956  |  0.0330  |  0.9810  |     0.8483      |    0.5460    |   0.6756   | 0.6039  |
[152 /200 ]    | -0.8228  | -1.1700  |  0.0169  |  0.9809  |     0.8609      |    0.5423    |   0.6771   | 0.6023  |
[153 /200 ]    | -0.7948  | -1.1503  |  0.0199  |  0.9814  |     0.8350      |    0.5611    |   0.6518   | 0.6030  |
[154 /200 ]    | -0.8137  | -1.1384  |  0.0338  |  0.9819  |     0.8556      |    0.5385    |   0.6863   | 0.6035  |
[155 /200 ]    | -0.7997  | -1.1639  |  0.0127  |  0.9816  |     0.8405      |    0.5615    |   0.6620   | 0.6077  |
[156 /200 ]    | -0.8200  | -1.1871  |  0.0465  |  0.9819  |     0.8563      |    0.5805    |   0.6309   | 0.6046  |
[157 /200 ]    | -0.8007  | -1.1844  |  0.0433  |  0.9825  |     0.8352      |    0.5761    |   0.6327   | 0.6031  |
[158 /200 ]    | -0.8016  | -1.1988  |  0.0526  |  0.9821  |     0.8351      |    0.5584    |   0.6581   | 0.6042  |
[159 /200 ]    | -0.8016  | -1.2181  |  0.0870  |  0.9820  |     0.8389      |    0.5549    |   0.6607   | 0.6032  |
[160 /200 ]    | -0.7981  | -1.1960  |  0.0275  |  0.9828  |     0.8388      |    0.5535    |   0.6593   | 0.6018  |
[161 /200 ]    | -0.8034  | -1.1729  |  0.0437  |  0.9821  |     0.8436      |    0.5401    |   0.6897   | 0.6058  |
[162 /200 ]    | -0.8377  | -1.2037  |  0.0540  |  0.9827  |     0.8782      |    0.5800    |   0.6326   | 0.6052  |
[163 /200 ]    | -0.8158  | -1.2183  |  0.0122  |  0.9825  |     0.8515      |    0.5750    |   0.6316   | 0.6019  |
[164 /200 ]    | -0.8236  | -1.1896  |  0.0764  |  0.9828  |     0.8672      |    0.5377    |   0.6853   | 0.6026  |
[165 /200 ]    | -0.7754  | -1.1968  |  0.0649  |  0.9832  |     0.8099      |    0.5845    |   0.6266   | 0.6048  |
[166 /200 ]    | -0.8073  | -1.2345  |  0.0646  |  0.9833  |     0.8435      |    0.5458    |   0.6840   | 0.6071  |
[167 /200 ]    | -0.7903  | -1.1602  |  0.0517  |  0.9838  |     0.8285      |    0.5531    |   0.6618   | 0.6026  |
[168 /200 ]    | -0.8022  | -1.2204  |  0.0085  |  0.9838  |     0.8387      |    0.5295    |   0.6855   | 0.5975  |
[169 /200 ]    | -0.7908  | -1.2361  |  0.0376  |  0.9840  |     0.8296      |    0.5716    |   0.6328   | 0.6007  |
[170 /200 ]    | -0.8145  | -1.2093  |  0.0763  |  0.9842  |     0.8490      |    0.5371    |   0.6870   | 0.6029  |
