Namespace(adv_steps=5, att_size=1024, batch_size=512, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='FLO', drop_rate=0.2, epsilon=0.0625, fusion_iter=2, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=0.0001, manualSeed=None, matdataset=True, nclass_all=102, dis_hu=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, ntrain_class=82, nz=1024, outf='./checkpoint/', outname='flowers', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, res_size=2048, save_every=100, standardization=False, start_epoch=0, syn_num=800, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  3753
# of training samples:  5631
MLP_G(
  (fc1): Linear(in_features=2048, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
robDis(
  (fc1): Linear(in_features=3072, out_features=4096)
  (bin): Linear(in_features=4096, out_features=1)
  (multi): Linear(in_features=4096, out_features=82)
  (relu): ReLU(inplace)
)
MLP_4HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=128)
  (fc5): Linear(in_features=128, out_features=1024)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  ACC_unseen  |  ACC_seen  |    H    |
[ 59 /300 ]    |  0.4562  |  1.0993  |  0.7580  |    0.4534    |   0.7232   | 0.5574  |
[ 60 /300 ]    |  0.4714  |  0.8315  |  0.7599  |    0.4331    |   0.7518   | 0.5496  |
[ 61 /300 ]    |  0.4689  |  1.0709  |  0.7601  |    0.4362    |   0.7660   | 0.5559  |
[ 62 /300 ]    |  0.4773  |  0.9889  |  0.7595  |    0.4596    |   0.7053   | 0.5565  |
[ 63 /300 ]    |  0.4952  |  1.1188  |  0.7593  |    0.4482    |   0.7555   | 0.5626  |
[ 64 /300 ]    |  0.5278  |  0.7929  |  0.7619  |    0.4276    |   0.7773   | 0.5517  |
[ 65 /300 ]    |  0.4843  |  0.8489  |  0.7608  |    0.4523    |   0.7533   | 0.5652  |
[ 66 /300 ]    |  0.4674  |  0.8871  |  0.7631  |    0.4390    |   0.7520   | 0.5544  |
[ 67 /300 ]    |  0.4852  |  1.0238  |  0.7626  |    0.4447    |   0.7761   | 0.5654  |
[ 68 /300 ]    |  0.5118  |  1.0622  |  0.7630  |    0.4439    |   0.7884   | 0.5680  |
[ 69 /300 ]    |  0.5097  |  0.8857  |  0.7611  |    0.4603    |   0.7636   | 0.5744  |
[ 70 /300 ]    |  0.5222  |  1.0675  |  0.7643  |    0.4534    |   0.7257   | 0.5581  |
[ 71 /300 ]    |  0.5149  |  0.9232  |  0.7628  |    0.4631    |   0.7256   | 0.5654  |
[ 72 /300 ]    |  0.5334  |  0.8929  |  0.7627  |    0.4670    |   0.7325   | 0.5704  |
[ 73 /300 ]    |  0.5166  |  0.9350  |  0.7661  |    0.4532    |   0.7632   | 0.5687  |
[ 74 /300 ]    |  0.5293  |  0.7724  |  0.7648  |    0.4601    |   0.7368   | 0.5664  |
[ 75 /300 ]    |  0.5497  |  0.8344  |  0.7642  |    0.4618    |   0.7342   | 0.5670  |
[ 76 /300 ]    |  0.5542  |  0.8553  |  0.7670  |    0.4828    |   0.7146   | 0.5763  |
[ 77 /300 ]    |  0.5510  |  1.0096  |  0.7647  |    0.4658    |   0.7423   | 0.5724  |
[ 78 /300 ]    |  0.5621  |  1.0601  |  0.7633  |    0.4559    |   0.7378   | 0.5635  |
[ 79 /300 ]    |  0.5911  |  0.7336  |  0.7657  |    0.4447    |   0.7625   | 0.5618  |
[ 80 /300 ]    |  0.5815  |  0.7331  |  0.7677  |    0.4468    |   0.7512   | 0.5603  |
[ 81 /300 ]    |  0.5771  |  0.9602  |  0.7683  |    0.4482    |   0.7411   | 0.5586  |
[ 82 /300 ]    |  0.5885  |  1.0351  |  0.7673  |    0.4663    |   0.7613   | 0.5783  |
[ 83 /300 ]    |  0.5882  |  0.9243  |  0.7670  |    0.4706    |   0.7677   | 0.5835  |
[ 84 /300 ]    |  0.6040  |  0.8962  |  0.7689  |    0.4491    |   0.7732   | 0.5682  |
[ 85 /300 ]    |  0.6131  |  0.7791  |  0.7666  |    0.4726    |   0.7199   | 0.5706  |
[ 86 /300 ]    |  0.6963  |  1.0786  |  0.7676  |    0.4489    |   0.7465   | 0.5607  |
[ 87 /300 ]    |  0.6109  |  0.8331  |  0.7669  |    0.4680    |   0.7462   | 0.5752  |
[ 88 /300 ]    |  0.6475  |  0.7576  |  0.7681  |    0.4315    |   0.8002   | 0.5607  |
[ 89 /300 ]    |  0.6728  |  0.6932  |  0.7708  |    0.4449    |   0.7944   | 0.5704  |
[ 90 /300 ]    |  0.6234  |  0.8793  |  0.7689  |    0.4516    |   0.7872   | 0.5740  |
[ 91 /300 ]    |  0.6716  |  0.9910  |  0.7678  |    0.4402    |   0.7822   | 0.5633  |
[ 92 /300 ]    |  0.6941  |  0.6645  |  0.7671  |    0.4562    |   0.7361   | 0.5633  |
[ 93 /300 ]    |  0.6716  |  0.8447  |  0.7701  |    0.4598    |   0.7157   | 0.5599  |
[ 94 /300 ]    |  0.6725  |  0.8634  |  0.7698  |    0.4634    |   0.7365   | 0.5688  |
[ 95 /300 ]    |  0.7268  |  1.0509  |  0.7691  |    0.4774    |   0.7234   | 0.5752  |
[ 96 /300 ]    |  0.6895  |  0.9691  |  0.7693  |    0.4684    |   0.7589   | 0.5793  |
[ 97 /300 ]    |  0.7763  |  0.9699  |  0.7710  |    0.4730    |   0.7405   | 0.5773  |
[ 98 /300 ]    |  0.7946  |  0.6286  |  0.7706  |    0.4682    |   0.7614   | 0.5798  |
[ 99 /300 ]    |  0.7962  |  0.9598  |  0.7695  |    0.4662    |   0.7835   | 0.5846  |
[100 /300 ]    |  0.7309  |  0.7407  |  0.7718  |    0.4702    |   0.7528   | 0.5788  |
[101 /300 ]    |  0.7723  |  0.6629  |  0.7712  |    0.4473    |   0.7499   | 0.5603  |
[102 /300 ]    |  0.7888  |  0.9899  |  0.7707  |    0.4660    |   0.7166   | 0.5647  |
[103 /300 ]    |  0.7541  |  0.7041  |  0.7707  |    0.4583    |   0.6895   | 0.5507  |
[104 /300 ]    |  0.7629  |  0.6873  |  0.7697  |    0.4289    |   0.7626   | 0.5491  |
[105 /300 ]    |  0.8273  |  0.9170  |  0.7720  |    0.4625    |   0.7312   | 0.5666  |
[106 /300 ]    |  0.7997  |  0.6467  |  0.7727  |    0.4505    |   0.7496   | 0.5628  |
[107 /300 ]    |  0.8910  |  1.0520  |  0.7736  |    0.4732    |   0.7230   | 0.5720  |
[108 /300 ]    |  0.8404  |  0.6016  |  0.7723  |    0.4638    |   0.7460   | 0.5720  |
[109 /300 ]    |  0.8346  |  0.5967  |  0.7710  |    0.4761    |   0.6954   | 0.5652  |
[110 /300 ]    |  0.8830  |  0.5723  |  0.7721  |    0.4721    |   0.7238   | 0.5714  |
[111 /300 ]    |  0.8486  |  0.8866  |  0.7726  |    0.4760    |   0.7129   | 0.5709  |
[112 /300 ]    |  0.8868  |  0.5509  |  0.7707  |    0.4697    |   0.7310   | 0.5719  |
[113 /300 ]    |  0.8935  |  0.5447  |  0.7731  |    0.4739    |   0.7200   | 0.5716  |
[114 /300 ]    |  0.8701  |  0.6762  |  0.7727  |    0.4671    |   0.7269   | 0.5687  |
[115 /300 ]    |  0.8856  |  0.9058  |  0.7737  |    0.4694    |   0.7167   | 0.5673  |
[116 /300 ]    |  0.9057  |  0.6929  |  0.7738  |    0.4459    |   0.7569   | 0.5612  |
[117 /300 ]    |  0.9202  |  0.5903  |  0.7727  |    0.4586    |   0.7629   | 0.5729  |
[118 /300 ]    |  0.8611  |  0.6235  |  0.7723  |    0.4762    |   0.7297   | 0.5763  |
[119 /300 ]    |  0.9122  |  0.6960  |  0.7743  |    0.4680    |   0.7839   | 0.5861  |
[120 /300 ]    |  0.9451  |  0.5209  |  0.7733  |    0.4666    |   0.7483   | 0.5748  |
[121 /300 ]    |  0.9121  |  0.6421  |  0.7728  |    0.4764    |   0.7428   | 0.5805  |
[122 /300 ]    |  0.9593  |  0.8128  |  0.7732  |    0.4895    |   0.7266   | 0.5849  |
[123 /300 ]    |  0.9463  |  0.7049  |  0.7749  |    0.4758    |   0.7678   | 0.5875  |
[124 /300 ]    |  1.0073  |  0.5309  |  0.7735  |    0.4584    |   0.7848   | 0.5787  |
[125 /300 ]    |  0.9618  |  0.5711  |  0.7746  |    0.4642    |   0.7815   | 0.5824  |
[126 /300 ]    |  0.9514  |  0.7023  |  0.7762  |    0.4626    |   0.7877   | 0.5829  |
[127 /300 ]    |  0.9714  |  0.8251  |  0.7736  |    0.4614    |   0.7597   | 0.5741  |
[128 /300 ]    |  0.9672  |  0.5995  |  0.7750  |    0.4977    |   0.7509   | 0.5986  |
[129 /300 ]    |  0.9767  |  0.8009  |  0.7753  |    0.5050    |   0.7061   | 0.5888  |
[130 /300 ]    |  0.9548  |  0.5882  |  0.7756  |    0.4919    |   0.7418   | 0.5915  |
[131 /300 ]    |  0.9456  |  0.6594  |  0.7741  |    0.4753    |   0.7976   | 0.5956  |
[132 /300 ]    |  0.9446  |  0.6782  |  0.7748  |    0.4771    |   0.7821   | 0.5927  |
[133 /300 ]    |  0.9428  |  0.6828  |  0.7738  |    0.4932    |   0.7315   | 0.5892  |
[134 /300 ]    |  0.9855  |  0.6735  |  0.7744  |    0.4711    |   0.7960   | 0.5919  |
[135 /300 ]    |  0.9748  |  0.6456  |  0.7767  |    0.4744    |   0.7852   | 0.5915  |
[136 /300 ]    |  0.9800  |  0.5828  |  0.7753  |    0.4969    |   0.7786   | 0.6066  |
[137 /300 ]    |  0.9570  |  0.6237  |  0.7759  |    0.4891    |   0.7710   | 0.5985  |
[138 /300 ]    |  0.9875  |  0.5894  |  0.7753  |    0.4945    |   0.7768   | 0.6043  |
[139 /300 ]    |  1.0056  |  0.6554  |  0.7759  |    0.4797    |   0.7950   | 0.5983  |
[140 /300 ]    |  0.9854  |  0.7228  |  0.7774  |    0.4831    |   0.7988   | 0.6021  |
[141 /300 ]    |  0.9632  |  0.5970  |  0.7790  |    0.4862    |   0.8029   | 0.6057  |
[142 /300 ]    |  0.9680  |  0.6564  |  0.7754  |    0.5084    |   0.7762   | 0.6144  |
[143 /300 ]    |  0.9344  |  0.6360  |  0.7762  |    0.5165    |   0.7595   | 0.6149  |
[144 /300 ]    |  0.9785  |  0.7298  |  0.7761  |    0.5033    |   0.7832   | 0.6128  |
[145 /300 ]    |  0.9750  |  0.5642  |  0.7768  |    0.5186    |   0.7485   | 0.6127  |
[146 /300 ]    |  0.9596  |  0.6567  |  0.7753  |    0.5032    |   0.8053   | 0.6194  |
[147 /300 ]    |  0.9586  |  0.5693  |  0.7752  |    0.5107    |   0.7548   | 0.6092  |
[148 /300 ]    |  0.9318  |  0.6477  |  0.7766  |    0.5036    |   0.7784   | 0.6116  |
[149 /300 ]    |  0.9385  |  0.6322  |  0.7773  |    0.5376    |   0.7414   | 0.6232  |
