Namespace(attSize=64, batch_size=256, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='APY', drop_rate=0.2, fusion_iter=3, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=None, matdataset=True, nclass_all=32, ndh=4096, nepoch=100, netD_name='MLP_CRITIC', netG_name='MLP_G', ngh=4096, ngpu=1, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=64, outname='apy', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=2, r_weight=1, resSize=2048, save_every=100, standardization=False, start_epoch=0, syn_num=1400, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  9353
# of training samples:  5932
MLP_G(
  (fc1): Linear(in_features=128, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2112, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_DropoutAdapt(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (drop): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  F_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 72 /100 ]    | -1.0006  | -0.8286  |  0.1187  |  0.9645  |     1.0492      |    0.2784    |   0.5151   | 0.3615  |
[ 73 /100 ]    | -1.0277  | -0.8152  |  0.1268  |  0.9700  |     1.0787      |    0.2517    |   0.6155   | 0.3572  |
[ 74 /100 ]    | -1.0280  | -0.8296  |  0.0658  |  0.9664  |     1.0790      |    0.2437    |   0.5973   | 0.3462  |
[ 75 /100 ]    | -1.0439  | -0.8635  |  0.0409  |  0.9699  |     1.0967      |    0.2672    |   0.5603   | 0.3618  |
[ 76 /100 ]    | -1.0068  | -0.8391  |  0.0526  |  0.9682  |     1.0562      |    0.2565    |   0.5948   | 0.3585  |
[ 77 /100 ]    | -1.0550  | -0.8482  |  0.0548  |  0.9715  |     1.1080      |    0.2659    |   0.5207   | 0.3520  |
[ 78 /100 ]    | -1.0024  | -0.8057  |  0.0423  |  0.9704  |     1.0582      |    0.2734    |   0.5674   | 0.3690  |
[ 79 /100 ]    | -1.0297  | -0.7955  |  0.0479  |  0.9716  |     1.0779      |    0.2864    |   0.5251   | 0.3707  |
[ 80 /100 ]    | -1.0651  | -0.7785  |  0.0291  |  0.9719  |     1.1174      |    0.2616    |   0.5764   | 0.3598  |
[ 81 /100 ]    | -1.0059  | -0.7640  |  0.0910  |  0.9730  |     1.0587      |    0.2666    |   0.5250   | 0.3536  |
[ 82 /100 ]    | -1.0363  | -0.7869  |  0.0965  |  0.9750  |     1.0825      |    0.2557    |   0.5533   | 0.3497  |
[ 83 /100 ]    | -0.9832  | -0.7831  |  0.1204  |  0.9743  |     1.0351      |    0.2553    |   0.6200   | 0.3616  |
[ 84 /100 ]    | -1.0525  | -0.7482  |  0.0628  |  0.9732  |     1.1076      |    0.2467    |   0.5931   | 0.3485  |
[ 85 /100 ]    | -0.9877  | -0.7110  |  0.1438  |  0.9751  |     1.0477      |    0.2647    |   0.6075   | 0.3688  |
[ 86 /100 ]    | -1.0391  | -0.7426  |  0.1226  |  0.9747  |     1.0897      |    0.2532    |   0.5707   | 0.3508  |
[ 87 /100 ]    | -1.0334  | -0.6778  |  0.0558  |  0.9743  |     1.0935      |    0.2647    |   0.5116   | 0.3489  |
[ 88 /100 ]    | -1.0029  | -0.6703  |  0.0521  |  0.9761  |     1.0633      |    0.2558    |   0.5704   | 0.3532  |
[ 89 /100 ]    | -1.0676  | -0.6807  |  0.1041  |  0.9772  |     1.1268      |    0.2901    |   0.5741   | 0.3854  |
[ 90 /100 ]    | -1.0526  | -0.6802  |  0.0962  |  0.9757  |     1.1037      |    0.2772    |   0.5974   | 0.3787  |
[ 91 /100 ]    | -1.0668  | -0.6428  |  0.0792  |  0.9763  |     1.1252      |    0.2835    |   0.5997   | 0.3850  |
[ 92 /100 ]    | -1.0388  | -0.6529  |  0.0432  |  0.9766  |     1.0958      |    0.2608    |   0.5239   | 0.3482  |
[ 93 /100 ]    | -1.0303  | -0.6735  |  0.1472  |  0.9777  |     1.0909      |    0.2610    |   0.5166   | 0.3468  |
[ 94 /100 ]    | -1.0551  | -0.5769  |  0.0716  |  0.9788  |     1.1089      |    0.2420    |   0.6028   | 0.3453  |
[ 95 /100 ]    | -0.9663  | -0.6417  |  0.0929  |  0.9788  |     1.0256      |    0.2560    |   0.5658   | 0.3525  |
[ 96 /100 ]    | -1.0772  | -0.5659  |  0.0353  |  0.9793  |     1.1365      |    0.2655    |   0.5320   | 0.3542  |
[ 97 /100 ]    | -1.0663  | -0.6153  |  0.0405  |  0.9777  |     1.1202      |    0.2747    |   0.5725   | 0.3712  |
[ 98 /100 ]    | -1.1059  | -0.5111  |  0.1312  |  0.9807  |     1.1656      |    0.2619    |   0.6209   | 0.3684  |
[ 99 /100 ]    | -1.0377  | -0.5589  |  0.1347  |  0.9809  |     1.0983      |    0.2785    |   0.5756   | 0.3754  |
[100 /100 ]    | -1.0411  | -0.4910  |  0.0475  |  0.9817  |     1.0957      |    0.2478    |   0.5617   | 0.3439  |
max H: 0.391058 in epoch: 71
