Namespace(att_size=85, batch_size=1024, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA2', drop_rate=0.2, fusion_iter=3, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=None, matdataset=True, nclass_all=50, dis_hu=4096, nepoch=200, netD_name='MLP_CRITIC', netG_name='MLP_G', gen_hu=4096, ngpu=1, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=85, outf='./checkpoint/', outname='awa2', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, res_size=2048, save_every=100, standardization=False, start_epoch=0, syn_num=2000, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  4803
# of training samples:  23527
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2133, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_DropoutAdapt(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (drop): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  F_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 46 /200 ]    | -1.1934  | -0.4218  |  0.1203  |  0.8720  |     1.2357      |    0.2434    |   0.4854   | 0.3242  |
[ 47 /200 ]    | -1.1745  | -0.4125  |  0.1360  |  0.8762  |     1.2122      |    0.2408    |   0.4960   | 0.3242  |
[ 48 /200 ]    | -1.1600  | -0.4221  |  0.1148  |  0.8801  |     1.2014      |    0.2450    |   0.4918   | 0.3271  |
[ 49 /200 ]    | -1.1465  | -0.4003  |  0.1030  |  0.8812  |     1.1880      |    0.2579    |   0.5081   | 0.3422  |
[ 50 /200 ]    | -1.1316  | -0.4582  |  0.1084  |  0.8839  |     1.1687      |    0.2781    |   0.4947   | 0.3560  |
[ 51 /200 ]    | -1.1056  | -0.4249  |  0.1107  |  0.8862  |     1.1439      |    0.2444    |   0.6308   | 0.3523  |
[ 52 /200 ]    | -1.1219  | -0.4547  |  0.1079  |  0.8876  |     1.1618      |    0.3052    |   0.4801   | 0.3731  |
[ 53 /200 ]    | -1.1202  | -0.4485  |  0.0573  |  0.8906  |     1.1581      |    0.3311    |   0.4665   | 0.3873  |
[ 54 /200 ]    | -1.0774  | -0.4151  |  0.0964  |  0.8921  |     1.1173      |    0.2855    |   0.6371   | 0.3943  |
[ 55 /200 ]    | -1.0692  | -0.4544  |  0.1592  |  0.8942  |     1.1077      |    0.3077    |   0.4481   | 0.3649  |
[ 56 /200 ]    | -1.0934  | -0.4242  |  0.1193  |  0.8961  |     1.1327      |    0.2868    |   0.6198   | 0.3921  |
[ 57 /200 ]    | -1.0794  | -0.4496  |  0.1014  |  0.8960  |     1.1174      |    0.2615    |   0.6229   | 0.3684  |
[ 58 /200 ]    | -1.0915  | -0.4361  |  0.0901  |  0.8959  |     1.1289      |    0.2834    |   0.6204   | 0.3891  |
[ 59 /200 ]    | -1.0833  | -0.4407  |  0.0664  |  0.9000  |     1.1218      |    0.3194    |   0.4485   | 0.3731  |
[ 60 /200 ]    | -1.0691  | -0.4560  |  0.1130  |  0.9006  |     1.1096      |    0.2605    |   0.6124   | 0.3656  |
[ 61 /200 ]    | -1.0716  | -0.4252  |  0.0946  |  0.9045  |     1.1111      |    0.2798    |   0.6158   | 0.3848  |
[ 62 /200 ]    | -1.0714  | -0.4578  |  0.0965  |  0.9052  |     1.1131      |    0.3254    |   0.6087   | 0.4240  |
[ 63 /200 ]    | -1.0685  | -0.4482  |  0.0682  |  0.9080  |     1.1098      |    0.3067    |   0.6891   | 0.4244  |
[ 64 /200 ]    | -1.0525  | -0.4380  |  0.0674  |  0.9071  |     1.0945      |    0.2991    |   0.6185   | 0.4032  |
[ 65 /200 ]    | -1.0650  | -0.4209  |  0.1104  |  0.9109  |     1.1050      |    0.3339    |   0.5981   | 0.4286  |
[ 66 /200 ]    | -1.0695  | -0.4529  |  0.1503  |  0.9103  |     1.1131      |    0.3965    |   0.5981   | 0.4769  |
[ 67 /200 ]    | -1.0416  | -0.4715  |  0.0815  |  0.9127  |     1.0833      |    0.3742    |   0.5817   | 0.4554  |
[ 68 /200 ]    | -1.0250  | -0.4450  |  0.0561  |  0.9127  |     1.0645      |    0.3319    |   0.6753   | 0.4451  |
[ 69 /200 ]    | -1.0482  | -0.4786  |  0.1580  |  0.9183  |     1.0891      |    0.3034    |   0.6727   | 0.4182  |
[ 70 /200 ]    | -1.0507  | -0.4985  |  0.0576  |  0.9198  |     1.0941      |    0.4058    |   0.5871   | 0.4799  |
[ 71 /200 ]    | -1.0526  | -0.4754  |  0.0472  |  0.9207  |     1.0976      |    0.3742    |   0.5895   | 0.4578  |
[ 72 /200 ]    | -1.0314  | -0.4901  |  0.0768  |  0.9203  |     1.0753      |    0.3808    |   0.5855   | 0.4615  |
[ 73 /200 ]    | -1.0276  | -0.4984  |  0.1066  |  0.9212  |     1.0734      |    0.3645    |   0.5766   | 0.4467  |
[ 74 /200 ]    | -1.0301  | -0.5094  |  0.0345  |  0.9246  |     1.0722      |    0.3393    |   0.6735   | 0.4512  |
[ 75 /200 ]    | -1.0446  | -0.5400  |  0.0956  |  0.9253  |     1.0883      |    0.3992    |   0.5748   | 0.4712  |
[ 76 /200 ]    | -1.0513  | -0.5252  |  0.0691  |  0.9245  |     1.0998      |    0.4246    |   0.5632   | 0.4842  |
[ 77 /200 ]    | -1.0277  | -0.5054  |  0.0671  |  0.9288  |     1.0724      |    0.4348    |   0.5644   | 0.4912  |
[ 78 /200 ]    | -1.0346  | -0.5314  |  0.0883  |  0.9274  |     1.0833      |    0.4210    |   0.5852   | 0.4897  |
[ 79 /200 ]    | -1.0300  | -0.5225  |  0.0639  |  0.9267  |     1.0751      |    0.4332    |   0.5635   | 0.4898  |
[ 80 /200 ]    | -1.0155  | -0.5540  |  0.1158  |  0.9311  |     1.0634      |    0.3906    |   0.6602   | 0.4908  |
[ 81 /200 ]    | -1.0222  | -0.5563  |  0.1169  |  0.9319  |     1.0696      |    0.3988    |   0.5720   | 0.4700  |
[ 82 /200 ]    | -1.0338  | -0.5661  |  0.0697  |  0.9327  |     1.0831      |    0.4029    |   0.6587   | 0.5000  |
[ 83 /200 ]    | -1.0078  | -0.5836  |  0.0442  |  0.9323  |     1.0565      |    0.4590    |   0.5523   | 0.5013  |
[ 84 /200 ]    | -1.0151  | -0.6220  |  0.0775  |  0.9325  |     1.0592      |    0.4181    |   0.6421   | 0.5064  |
[ 85 /200 ]    | -1.0450  | -0.6101  |  0.0609  |  0.9341  |     1.0956      |    0.4116    |   0.6531   | 0.5050  |
[ 86 /200 ]    | -1.0400  | -0.6196  |  0.1089  |  0.9366  |     1.0919      |    0.3771    |   0.6540   | 0.4784  |
[ 87 /200 ]    | -1.0212  | -0.6164  |  0.1226  |  0.9366  |     1.0741      |    0.3992    |   0.7050   | 0.5097  |
[ 88 /200 ]    | -1.0131  | -0.6263  |  0.0744  |  0.9388  |     1.0622      |    0.4945    |   0.5470   | 0.5195  |
[ 89 /200 ]    | -1.0144  | -0.6299  |  0.0461  |  0.9407  |     1.0630      |    0.4075    |   0.6515   | 0.5014  |
