Namespace(adv_steps=5, attSize=312, batch_size=64, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='CUB', drop_rate=0.2, epsilon=0.0625, fusion_iter=2, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=0.0001, manualSeed=None, matdataset=True, nclass_all=200, ndh=4096, nepoch=100, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, ntrain_class=150, nz=312, outf='./checkpoint/', outname='cub', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=3, r_weight=1, resSize=2048, save_every=100, standardization=False, start_epoch=0, syn_num=800, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  2594
# of training samples:  7057
MLP_G(
  (fc1): Linear(in_features=624, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
robDis(
  (fc1): Linear(in_features=2360, out_features=4096)
  (bin): Linear(in_features=4096, out_features=1)
  (multi): Linear(in_features=4096, out_features=150)
  (relu): ReLU(inplace)
)
MLP_3HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=312)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  ACC_unseen  |  ACC_seen  |    H    |
[ 69 /100 ]    |  0.7560  |  0.7028  |  0.9793  |    0.4192    |   0.5659   | 0.4816  |
[ 70 /100 ]    |  0.8295  |  0.5794  |  0.9785  |    0.4376    |   0.5294   | 0.4792  |
[ 71 /100 ]    |  0.8601  |  0.7515  |  0.9773  |    0.4364    |   0.5250   | 0.4767  |
[ 72 /100 ]    |  0.8556  |  0.5268  |  0.9792  |    0.4048    |   0.5819   | 0.4775  |
[ 73 /100 ]    |  0.8727  |  0.6777  |  0.9768  |    0.4210    |   0.5644   | 0.4823  |
[ 74 /100 ]    |  0.7728  |  0.7649  |  0.9778  |    0.4248    |   0.5462   | 0.4779  |
[ 75 /100 ]    |  0.8504  |  0.6070  |  0.9815  |    0.4090    |   0.5791   | 0.4794  |
[ 76 /100 ]    |  0.8535  |  0.5968  |  0.9772  |    0.4222    |   0.5473   | 0.4767  |
[ 77 /100 ]    |  0.7543  |  0.6927  |  0.9823  |    0.4270    |   0.5246   | 0.4708  |
[ 78 /100 ]    |  0.8148  |  0.6304  |  0.9839  |    0.4241    |   0.5532   | 0.4801  |
[ 79 /100 ]    |  0.8792  |  0.7257  |  0.9793  |    0.4385    |   0.5251   | 0.4779  |
[ 80 /100 ]    |  0.8229  |  0.6537  |  0.9808  |    0.4486    |   0.5206   | 0.4819  |
[ 81 /100 ]    |  0.7419  |  0.6939  |  0.9791  |    0.4295    |   0.5486   | 0.4818  |
[ 82 /100 ]    |  0.7994  |  0.5709  |  0.9820  |    0.4038    |   0.5761   | 0.4748  |
[ 83 /100 ]    |  0.8134  |  0.5488  |  0.9817  |    0.4122    |   0.5603   | 0.4750  |
[ 84 /100 ]    |  0.8762  |  0.7611  |  0.9807  |    0.4146    |   0.5597   | 0.4764  |
[ 85 /100 ]    |  0.8356  |  0.5661  |  0.9816  |    0.4018    |   0.5780   | 0.4740  |
[ 86 /100 ]    |  0.8284  |  0.6481  |  0.9815  |    0.4488    |   0.5195   | 0.4815  |
[ 87 /100 ]    |  0.8155  |  0.6692  |  0.9844  |    0.4258    |   0.5442   | 0.4778  |
[ 88 /100 ]    |  0.8648  |  0.5590  |  0.9823  |    0.4276    |   0.5611   | 0.4854  |
[ 89 /100 ]    |  0.8539  |  0.5977  |  0.9815  |    0.4007    |   0.5901   | 0.4773  |
[ 90 /100 ]    |  0.7997  |  0.6910  |  0.9832  |    0.4244    |   0.5721   | 0.4873  |
[ 91 /100 ]    |  0.8033  |  0.6084  |  0.9841  |    0.4212    |   0.5654   | 0.4828  |
[ 92 /100 ]    |  0.8414  |  0.8273  |  0.9826  |    0.4419    |   0.5256   | 0.4801  |
[ 93 /100 ]    |  0.7909  |  0.6631  |  0.9808  |    0.4453    |   0.5195   | 0.4795  |
[ 94 /100 ]    |  0.7853  |  0.6001  |  0.9827  |    0.4024    |   0.5802   | 0.4752  |
[ 95 /100 ]    |  0.8080  |  0.6935  |  0.9793  |    0.4407    |   0.5317   | 0.4819  |
[ 96 /100 ]    |  0.8261  |  0.6820  |  0.9845  |    0.4308    |   0.5421   | 0.4801  |
[ 97 /100 ]    |  0.7378  |  0.6540  |  0.9829  |    0.4234    |   0.5514   | 0.4790  |
[ 98 /100 ]    |  0.7790  |  0.6600  |  0.9838  |    0.4350    |   0.5490   | 0.4854  |
[ 99 /100 ]    |  0.7448  |  0.6683  |  0.9842  |    0.4229    |   0.5610   | 0.4823  |
[100 /100 ]    |  0.8011  |  0.6123  |  0.9846  |    0.4023    |   0.5871   | 0.4775  |
max H: 0.487323 in epoch: 90
